research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,combined_response,final_response,originality_rater01,utility_rater01
CES201610,8906,554,towel,meer,,,use towel as ,use towel as ,0,0
CES201610,8455,503,towel,AAIEN,aaien,pet,use towel as pet,use towel as pet,3,5
CES201610,9499,596,towel,aanrecht drogen,aanrecht drogen,countertop dry,use towel as countertop dry,use towel to countertop dry,1,5
CES201610,12431,770,towel,een aantal handdoeken aan elkaar gebruiken als lang touw ,aantal handdoeken elkaar lang touw,number of towels together long rope,use towel as number of towels together long rope,use towel as number of towels together long rope,3,3
CES201610,8903,554,towel,abtrocknen,abtrocknen,dry,use towel as dry,use towel to dry,1,5
CES201610,8616,530,towel,accesoire ,accessoire,accessory,use towel as accessory,use towel as accessory,3,3
CES201610,11292,707,towel,als accessoire gebruiken,accessoire,accessory,use towel as accessory,use towel as accessory,3,3
CES201610,7989,479,towel,af te drogen,af drogen,dry,use towel as dry,use towel to dry,1,5
CES201610,9105,569,towel,Om je mee af te drogen,af drogen,dry,use towel as dry,use towel to dry,1,5
CES201610,9702,605,towel,af te drogen,af drogen,dry,use towel as dry,use towel to dry,1,5
CES201610,11179,695,towel,om je mee af te drogen,af drogen,dry,use towel as dry,use towel to dry,1,5
CES201610,11507,710,towel,gebruiken om mee af te wassen,af wassen,wash up,use towel as wash up,use towel as wash up,1,5
CES201610,8615.5,530,towel, afdak,afdak,shelter,use towel as shelter,use towel as shelter,3,4
CES201610,8458,503,towel,IETS AFDEKKEN,afdekken,cover,use towel as cover,use towel to cover,2,4
CES201610,10419,638,towel,Afdekken,afdekken,cover,use towel as cover,use towel to cover,2,4
CES201610,11162,692,towel,iets afdekken,afdekken,cover,use towel as cover,use towel to cover,2,4
CES201610,10482,644,towel,afdekking lichaam,afdekking lichaam,body cover,use towel as body cover,use towel to body cover,2,4
CES201610,7908,476,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,8151,491,towel,afdrogen ,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,8215,494,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,8264,497,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,8282,500,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,8450,503,towel,AFDROGEN,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,8345,506,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,8331,509,towel,afdrongen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,8332,509,towel,afdrogen*,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,8427,512,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,8459,515,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,8488,518,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,8648,524,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,8601,527,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,8615.1,530,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,8661,539,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,8784,545,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,8975,560,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,9173,578,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,9235,581,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,9323,587,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,9432,593,towel,Afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,9655,602,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,10270,620,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,10373,632,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,10402,638,towel,Afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,10503,641,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,10477,644,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,10553,647,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,10613,653,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,10689,659,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,10757,662,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,10889,668,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,10953,674,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,11079,686,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,11158,692,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,11230,701,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,11287,707,towel,je mee afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,11534,713,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,11932,728,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,11985,731,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,12134,743,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,12340,749,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,12304,761,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,12398,764,towel,afrdogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,12411,767,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,12428,770,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,12457,773,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,12697,785,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,12705,785,towel,ad\fdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,12766,788,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,12794,791,towel,afdrogen,afdrogen,dry,use towel as dry,use towel to dry,1,5
CES201610,10909,671,towel,afdrogen borden,afdrogen borden,dry plates,use towel as dry plates,use towel to dry plates,1,5
CES201610,10910,671,towel,afdrogen lijf,afdrogen lijf,dry body,use towel as dry body,use towel to dry body,1,5
CES201610,12516,776,towel,afdroogdoek,afdroogdoek,drying cloth,use towel as drying cloth,use towel as drying cloth,1,5
CES201610,9946,611,towel,afdruipdoek,afdruip doek,drain cloth,use towel as drain cloth,use towel as drain cloth,1,5
CES201610,10558,647,towel,afkoeling,afkoeling,cooling,use towel as cooling,use towel as cooling,2,3
CES201610,12262,755,towel,afscherming,afscherming,shielding,use towel as shielding,use towel as shielding,2,4
CES201610,9329,587,towel,afval,afval,waste,use towel as waste,use towel as waste,2,4
CES201610,8420,512,towel,afvegen,afvegen,wipe off,use towel as wipe off,use towel as wipe off,1,5
CES201610,8793,545,towel,om de afwas mee te doen,afwas,washing up,use towel as washing up,use towel as washing up,1,5
CES201610,11080,686,towel,afwas afdrogen,afwas afdrogen,dry dishes,use towel as dry dishes,use towel to dry dishes,1,5
CES201610,8219,494,towel,afwassen,afwassen,wash up,use towel as wash up,use towel as wash up,1,5
CES201610,10407,638,towel,Afwassen,afwassen,wash up,use towel as wash up,use towel as wash up,1,5
CES201610,10394,635,towel,alledagslijk,alle dagelijks,all daily,use towel as all daily,use towel as all daily,0,0
CES201610,8996,563,towel,iemand anders afdrogen,anders afdrogen,other dry,use towel as other dry,use towel to other dry,1,5
CES201610,8931,554,towel,ausruhen,ausruhen,ausruhen,use towel as ausruhen,use towel as ausruhen,0,0
CES201610,11500,710,towel,auto afdrogen,auto afdrogen,dry car,use towel as dry car,use towel to dry car,1,5
CES201610,11497,710,towel,auto wassen,auto wassen,washing car,use towel as washing car,use towel as washing car,2,4
CES201610,10512,641,towel,een babay in dragen,baby dragen,carrying baby,use towel as carrying baby,use towel as carrying baby,3,3
CES201610,8489,518,towel,baby in winkelen,baby winkelen,baby shopping,use towel as baby shopping,use towel as baby shopping,3,3
CES201610,9310,587,towel,bad,bad,bath,use towel as bath,use towel as bath,0,0
CES201610,10393,635,towel,bad ,bad,bath,use towel as bath,use towel as bath,0,0
CES201610,11006,680,towel,bad,bad,bath,use towel as bath,use towel as bath,0,0
CES201610,11715,722,towel,bad,bad,bath,use towel as bath,use towel as bath,0,0
CES201610,8904,554,towel,baden,baden,bathe,use towel as bathe,use towel as bathe,0,0
CES201610,8423,512,towel,badkamer,badkamer,bathroom,use towel as bathroom,use towel as bathroom,0,0
CES201610,10391,635,towel,badkamer,badkamer,bathroom,use towel as bathroom,use towel as bathroom,0,0
CES201610,11713,722,towel,badkmer,badkamer,bathroom,use towel as bathroom,use towel as bathroom,0,0
CES201610,11714,722,towel,badkamer,badkamer,bathroom,use towel as bathroom,use towel as bathroom,0,0
CES201610,8347,506,towel,badmat van maken,badmat,bath mat,use towel as bath mat,use towel as bath mat,2,4
CES201610,9107,569,towel,Badmat,badmat,bath mat,use towel as bath mat,use towel as bath mat,2,4
CES201610,9265,584,towel,als badmat ,badmat,bath mat,use towel as bath mat,use towel as bath mat,2,4
CES201610,9943,611,towel,badmat,badmat,bath mat,use towel as bath mat,use towel as bath mat,2,4
CES201610,10278,620,towel,badmat,badmat,bath mat,use towel as bath mat,use towel as bath mat,2,4
CES201610,12070,737,towel,badmat,badmat,bath mat,use towel as bath mat,use towel as bath mat,2,4
CES201610,12227,752,towel,badmode,badmode,swimwear,use towel as swimwear,use towel as swimwear,2,4
CES201610,11000,680,towel,badmuts,badmuts,swimming cap,use towel as swimming cap,use towel as swimming cap,2,4
CES201610,10265,626,towel,als bandana,bandana,bandanna,use towel as bandanna,use towel as bandanna,3,4
CES201610,10631,656,towel,bandana,bandana,bandanna,use towel as bandanna,use towel as bandanna,2,4
CES201610,11127,689,towel,bandana,bandana,bandanna,use towel as bandanna,use towel as bandanna,2,4
CES201610,12395,746,towel,bandana,bandana,bandanna,use towel as bandanna,use towel as bandanna,2,4
CES201610,8921,554,towel,beachvolleyball,beachvolleyball,beach volleyball,use towel as beach volleyball,use towel as beach volleyball,4,2
CES201610,8690,536,towel,bed voor huisdieren,bed huisdieren,bed pets,use towel as bed pets,use towel as bed pets,3,3
CES201610,9942,611,towel,beddengoeddrager,beddengoed drager,bedding carrier,use towel as bedding carrier,use towel as bedding carrier,3,3
CES201610,9433,593,towel,Iets bedekken,bedekken,cover,use towel as cover,use towel to cover,2,4
CES201610,11716,722,towel,bedekken,bedekken,cover,use towel as cover,use towel to cover,2,4
CES201610,12305,761,towel,bedekken,bedekken,cover,use towel as cover,use towel to cover,2,4
CES201610,12413,767,towel,iets bedekken,bedekken,cover,use towel as cover,use towel to cover,2,4
CES201610,9863,608,towel,beeldscherm bedekken,beeldscherm bedekken,cover screen,use towel as cover screen,use towel to cover screen,3,4
CES201610,8515,521,towel,om je been wikkelen als broek,been wikkelen broek,leg wrapping pants,use towel as leg wrapping pants,use towel as leg wrapping pants,3,3
CES201610,9178,578,towel,bekleding,bekleding,upholstery,use towel as upholstery,use towel as upholstery,3,4
CES201610,12083,737,towel,beschermdoek,beschermdoek,protective cloth,use towel as protective cloth,use towel as protective cloth,2,4
CES201610,8615.2,530,towel, bescherming,bescherming,protection,use towel as protection,use towel as protection,2,4
CES201610,9511,596,towel,bescherming,bescherming,protection,use towel as protection,use towel as protection,2,4
CES201610,11582,719,towel,bescherming van spullen,bescherming spullen,protection stuff,use towel as protection stuff,use towel as protection stuff,2,4
CES201610,12703,785,towel,als beschemring tegen de zon,bescherming tegen zon,protection from sun,use towel as protection from sun,use towel as protection from sun,2,4
CES201610,11184,695,towel,als bescherming tegen de zon/doek op je hoofd,bescherming tegen zon doek hoofd,protection from sun cloth head,use towel as protection from sun cloth head,use towel as protection from sun cloth head,2,4
CES201610,8997,563,towel,bij bevallingen gebruiken,bevallingen,deliveries,use towel as deliveries,use towel as deliveries,3,4
CES201610,9662,602,towel,als bijzettafelkleedje gebruiken,bijzettafelkleedje,side tablecloth,use towel as side tablecloth,use towel as side tablecloth,2,4
CES201610,12391,746,towel,blanket,blanket,blanket,use towel as blanket,use towel as blanket,2,4
CES201610,10998,680,towel,blauw,blauw,blue,use towel as blue,use towel as blue,0,0
CES201610,8451,503,towel,ALS BLINDDOEK GEBRUIKEN,blinddoek,blindfold,use towel as blindfold,use towel as blindfold,3,4
CES201610,9059,566,towel,blinddoek,blinddoek,blindfold,use towel as blindfold,use towel as blindfold,3,4
CES201610,10262,626,towel,blinddoek,blinddoek,blindfold,use towel as blindfold,use towel as blindfold,3,4
CES201610,9005,563,towel,bloeding stoppen,bloeding stoppen,stop bleeding,use towel as stop bleeding,use towel as stop bleeding,2,4
CES201610,12307,761,towel,boenen,boenen,scrub,use towel as scrub,use towel as scrub,1,3
CES201610,10267,626,towel,als een boeren zakdoek om je nek,boeren zakdoek nek,farmer's handkerchief neck,use towel as farmer's handkerchief neck,use towel as farmer's handkerchief neck,3,4
CES201610,10213,623,towel,Een boerka mee maken,boerka,burqa,use towel as burqa,use towel as burqa,4,3
CES201610,10970,677,towel,boerka,boerka,burqa,use towel as burqa,use towel as burqa,4,3
CES201610,8223,494,towel,boodschappentas maken,boodschappentas,shopping bag,use towel as shopping bag,use towel as shopping bag,3,3
CES201610,8790,545,towel,gebruiken als brandstof voor de openhaard,brandstof open haard,fuel fireplace,use towel as fuel fireplace,use towel as fuel fireplace,3,5
CES201610,7914,476,towel,als brandstof gebruiken voor een vuurkorf,brandstof vuurkorf,fuel fire pit,use towel as fuel fire pit,use towel as fuel fire pit,3,5
CES201610,8465,515,towel,iets breekbaars beschermen,breekbaars beschermen,protect fragile items,use towel as protect fragile items,use towel to protect fragile items,2,4
CES201610,8923,554,towel,buch,buch,book,use towel as book,use towel as book,0,0
CES201610,12243,758,towel,buidel voor baby,buidel baby,pouch baby,use towel as pouch baby,use towel as pouch baby,4,3
CES201610,9174,578,towel,cadeau inpakken,cadeau inpakken,wrap gift,use towel as wrap gift,use towel to wrap gift,4,3
CES201610,12141,743,towel,om cameras mee af te dekken,camera s af dekken,cover cameras,use towel as cover cameras,use towel to cover cameras,3,4
CES201610,12154,740,towel,als canvas gebruiken,canvas,canvas,use towel as canvas,use towel as canvas,3,3
CES201610,8270,497,towel,als cape,cape,cape,use towel as cape,use towel as cape,3,4
CES201610,8609,527,towel,cape van maken,cape,cape,use towel as cape,use towel as cape,3,4
CES201610,10275,620,towel,cape,cape,cape,use towel as cape,use towel as cape,3,4
CES201610,12521,776,towel,cape,cape,cape,use towel as cape,use towel as cape,3,4
CES201610,12400,764,towel,cape voor verkleedfeestje,cape verkleedfeestje,cape costume party,use towel as cape costume party,use towel as cape costume party,3,4
CES201610,7994,479,towel,capuchon,capuchon,hoodie,use towel as hoodie,use towel as hoodie,3,4
CES201610,9861,608,towel,gebruiken als capuchon,capuchon,hoodie,use towel as hoodie,use towel as hoodie,3,4
CES201610,12393,746,towel,carpet ,carpet,carpet,use towel as carpet,use towel as carpet,2,4
CES201610,8929,554,towel,chillen,chillen,hang out,use towel as hang out,use towel to hang out,3,0
CES201610,9176,578,towel,in chillen,chillen,hang out,use towel as hang out,use towel to hang out,1,0
CES201610,12408,764,towel,als coolpack gebruiken met koud water,cool pack koud water,cool pack cold water,use towel as cool pack cold water,use towel as cool pack cold water,3,4
CES201610,10697,659,towel,als dak gebruiken van een hut,dak hut,roof hut,use towel as roof hut,use towel as roof hut,3,4
CES201610,10055,614,towel,decoratie,decoratie,decoration,use towel as decoration,use towel as decoration,3,3
CES201610,10556,647,towel,decoratie ,decoratie,decoration,use towel as decoration,use towel as decoration,3,3
CES201610,11056,683,towel,dekbed,dekbed,duvet,use towel as duvet,use towel as duvet,2,4
CES201610,12078,737,towel,dekbed,dekbed,duvet,use towel as duvet,use towel as duvet,2,4
CES201610,7995,479,towel,deken,deken,blanket,use towel as blanket,use towel as blanket,2,4
CES201610,8153,491,towel,deken ,deken,blanket,use towel as blanket,use towel as blanket,2,4
CES201610,8336,509,towel,als deken gebruiken,deken,blanket,use towel as blanket,use towel as blanket,2,4
CES201610,8492,518,towel,gebruiken als deken,deken,blanket,use towel as blanket,use towel as blanket,2,4
CES201610,8521,521,towel,als deken,deken,blanket,use towel as blanket,use towel as blanket,2,4
CES201610,8652,524,towel,deken,deken,blanket,use towel as blanket,use towel as blanket,2,4
CES201610,8684,536,towel,deken,deken,blanket,use towel as blanket,use towel as blanket,2,4
CES201610,8957,557,towel,deken,deken,blanket,use towel as blanket,use towel as blanket,2,4
CES201610,9241,581,towel,deken,deken,blanket,use towel as blanket,use towel as blanket,2,4
CES201610,9266,584,towel,deken,deken,blanket,use towel as blanket,use towel as blanket,2,4
CES201610,9507,596,towel,deken,deken,blanket,use towel as blanket,use towel as blanket,2,4
CES201610,10097,617,towel,deken van maken ,deken,blanket,use towel as blanket,use towel as blanket,2,4
CES201610,10386,629,towel,deken,deken,blanket,use towel as blanket,use towel as blanket,2,4
CES201610,10793,665,towel,als deken gebruiken,deken,blanket,use towel as blanket,use towel as blanket,2,4
