research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,combined_response,final_response,originality_rater01,utility_rater01
CES201606,796,19,can,aanduiden van een bepaald punt,aanduiden bepaald punt,indicate certain point,use can as indicate certain point,use can to indicate certain point,4,5
CES201606,1965,47,can,achter auto,achter auto,behind car,use can as behind car,use can as behind car,3,5
CES201606,1062,24,can,achter een auto binden bij een pas getrouwd stel,achter auto binden pas getrouwd stel,behind car tie newly married couple,use can as behind car tie newly married couple,use can to behind car tie newly married couple,3,5
CES201606,376,14,can,achter je auto hangen als je gaat trouwen,achter auto hangen gaat trouwen,hanging behind car is getting married,use can as hanging behind car is getting married,use can as hanging behind car is getting married,3,4
CES201606,1611,40,can,achter de huwelijksauto hangen,achter huwelijksauto hangen,hang behind wedding car,use can as hang behind wedding car,use can to hang behind wedding car,3,4
CES201606,1259,28,can,afval,afval,waste,use can as waste,use can as waste,2,5
CES201606,610,17,can,afval ingooien,afval ingooien,throwing in waste,use can as throwing in waste,use can as throwing in waste,2,5
CES201606,1012,23,can,afvalbak,afvalbak,garbage bin,use can as garbage bin,use can as garbage bin,2,5
CES201606,1963.1,47,can,afwas,afwas,washing up,use can as washing up,use can as washing up,4,2
CES201606,684,18,can,het alaminuim gebruiken voor bakjes maken ,aluminium bakjes,aluminum containers,use can as aluminum containers,use can as aluminum containers,2,5
CES201606,1379,30,can,aluminium folie in eenpuntzakje vouwen,aluminium folie puntzakje vouwen,folding aluminum foil cone,use can as folding aluminum foil cone,use can as folding aluminum foil cone,4,5
CES201606,1534,38,can,als asbak gebruiken,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
CES201606,1815,45,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
CES201606,2017,48,can,auto mee maken,auto,car,use can as car,use can as car,4,3
CES201606,1708,43,can,auto vouwen,auto vouwen,car folding,use can as car folding,use can as car folding,4,3
CES201606,451,15,can,autootje,autootje,little car,use can as little car,use can as little car,4,3
CES201606,1715,43,can,bakje,bakje,tub,use can as tub,use can as tub,2,5
CES201606,280,13,can,bakje om dingen in te bewaren,bakje dingen bewaren,store things in container,use can as store things in container,use can as store things in container,2,5
CES201606,1121,25,can,bal,bal,ball,use can as ball,use can as ball,3,5
CES201606,2149,51,can,gebruiken als bal voor spelletjes zoals voetbal,bal spelletjes zoals voetbal,ball games like football,use can as ball games like football,use can as ball games like football,3,5
