research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,combined_response,final_response,originality_rater02,utility_rater02
CES201606,1876,46,book,aanbeeld,aanbeeld,anvil,use book as anvil,use book as anvil,5,1
CES201606,1284,29,book,aanmaakblok,aanmaakblok,fire starter,use book as fire starter,use book as fire starter,3,5
CES201606,2117,51,book,aanmaakblokken openhaart,aanmaakblokken open haard,fireplace firelighters,use book as fireplace firelighters,use book as fireplace firelighters,3,5
CES201606,574,17,book,achterstevoren lezen,achterstevoren lezen,read backwards,use book as read backwards,use book to read backwards,3,4
CES201606,1943.2,47,book, afschermen tegen zon,afschermen tegen zon,protect from sun,use book as protect from sun,use book to protect from sun,3,4
CES201606,208,12,book,baksteen,baksteen,brick,use book as brick,use book as brick,3,3
CES201606,2096,50,book,een barricade bouwen op straat,barricade bouwen straat,building barricade street,use book as building barricade street,use book as building barricade street,4,2
CES201606,1868,46,book,beeldschermstandaard,beeldschermstandaard,display stand,use book as display stand,use book as display stand,2,5
CES201606,563,17,book,begraven,begraven,bury,use book as bury,use book as bury,2,4
CES201606,852,20,book,naar beneden gooien,beneden gooien,throw down,use book as throw down,use book as throw down,2,5
CES201606,859,20,book,bibliotheek aanleggen,bibliotheek aanleggen,build library,use book as build library,use book as build library,1,5
CES201606,501,16,book,bijzettafel,bijzettafel,side table,use book as side table,use book as side table,2,4
CES201606,746,19,book,om blaadjes uit te scheuren,blaadjes scheuren,tear leaves,use book as tear leaves,use book as tear leaves,2,5
CES201606,1457,36,book,blz eruit scheuren en collage van maken,bladzijde eruit scheuren collage,tear out page collage,use book as tear out page collage,use book as tear out page collage,2,5
CES201606,2112,51,book,bladzijden eruithalen kaft,bladzijden eruit halen kaft,remove pages from cover,use book as remove pages from cover,use book as remove pages from cover,2,5
CES201606,210,12,book,bloempot,bloempot,flowerpot,use book as flowerpot,use book as flowerpot,4,3
CES201606,432,15,book,je kunt een boek goed rechtop zetten en er achter spieken,boek goed rechtop zetten achter spieken,Place book upright behind the spikes,use book as Place book upright behind the spikes,use book as Place book upright behind the spikes,2,5
CES201606,2092.1,50,book,Een boek neerleggen daarachter twee,boek neerleggen daarachter,put book down behind it,use book as put book down behind it,use book as put book down behind it,1,5
CES201606,1156,26,book,boekwerpen: de sport,boek werpen sport,book throwing sport,use book as book throwing sport,use book as book throwing sport,2,3
CES201606,855.2,20,book, boekenkast van boeken,boekenkast boeken,bookcase books,use book as bookcase books,use book as bookcase books,1,5
CES201606,1866,46,book,boekenlegger,boekenlegger,bookmark,use book as bookmark,use book as bookmark,2,4
CES201606,1154,26,book,gebruiken als boekenplank,boekenplank,bookshelf,use book as bookshelf,use book as bookshelf,2,4
CES201606,1867,46,book,boekenstandaard,boekenstandaard,book stand,use book as book stand,use book as book stand,2,5
CES201606,855.1,20,book,als boekenstandaard aan de muur hangen,boekenstandaard muur hangen,book stand hanging on wall,use book as book stand hanging on wall,use book as book stand hanging on wall,2,5
CES201606,430,15,book,gebruiken als boekensteun,boekensteun,bookend,use book as bookend,use book as bookend,2,5
