research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,combined_response,final_response,originality_rater02,utility_rater02
CES201606,584,17,stick,iemand aaien,aaien,pet,use stick as pet,use stick to pet,3,3
CES201606,998,23,stick,iets aanwijzen,aanwijzen,assign,use stick as assign,use stick to assign,1,5
CES201606,1653,42,stick,iets aanwijsen,aanwijzen,assign,use stick as assign,use stick to assign,1,5
CES201606,2005,48,stick,iets aanwijzen,aanwijzen,assign,use stick as assign,use stick to assign,1,5
CES201606,228,12,stick,een aanwijzer,aanwijzer,pointer,use stick as pointer,use stick as pointer,1,5
CES201606,1502,37,stick,aanwijzer,aanwijzer,pointer,use stick as pointer,use stick as pointer,1,5
CES201606,787,19,stick,om iets af te dekken,af dekken,cover,use stick as cover,use stick as cover,2,4
CES201606,992,23,stick,afbakening,afbakening,demarcation,use stick as demarcation,use stick as demarcation,2,5
CES201606,776,19,stick,om een afbakening aan te duiden,afbakening duiden,indicate demarcation,use stick as indicate demarcation,use stick to indicate demarcation,2,5
CES201606,2147.1,51,stick,afscheiding,afscheiding,secretion,use stick as secretion,use stick as secretion,2,5
CES201606,885,20,stick,doen alsof je erop kunt vliegen,alsof erop vliegen,as if flying on it,use stick as as if flying on it,use stick as as if flying on it,3,5
CES201606,883,20,stick,doen alsof het een toverstaf is,alsof toverstaf,as if magic wand,use stick as as if magic wand,use stick as as if magic wand,3,5
CES201606,2142.2,51,stick, appels uit appelboom,appels appelboom,apples apple tree,use stick as apples apple tree,use stick as apples apple tree,0,0
CES201606,1167,26,stick,apporteren,apporteren,fetch,use stick as fetch,use stick as fetch,1,5
CES201606,1899,46,stick,bal,bal,ball,use stick as ball,use stick as ball,2,3
CES201606,591,17,stick,begraven,begraven,bury,use stick as bury,use stick as bury,2,5
CES201606,1605,40,stick,beaschilderen als kunsrvoorwerp,beschilderen kunstvoorwerp,painting art object,use stick as painting art object,use stick as painting art object,3,3
CES201606,1702,43,stick,bestek,bestek,specifications,use stick as specifications,use stick as specifications,3,4
CES201606,1368,30,stick,betonnenafgietsel in een mal,betonnen afgietsel mal,concrete casting mold,use stick as concrete casting mold,use stick as concrete casting mold,3,3
CES201606,884,20,stick,als bezemsteel gebruiken,bezemsteel,broomstick,use stick as broomstick,use stick as broomstick,2,4
CES201606,371,14,stick,op bijten als je heel veel pijn krijgt (als je been eraf wordt gezaagd zonder verdoving),bijten heel pijn krijgt,biting becomes very painful,use stick as biting becomes very painful,use stick as biting becomes very painful,4,5
CES201606,1367,30,stick,blaaspijpje,blaaspijpje,blowpipe,use stick as blowpipe,use stick as blowpipe,4,3
CES201606,1116,25,stick,boomerang,boemerang,boomerang,use stick as boomerang,use stick as boomerang,3,3
CES201606,2011,48,stick,boomhut,boomhut,Treehouse,use stick as Treehouse,use stick as Treehouse,2,4
CES201606,2002,48,stick,boshut bouwen,boshut bouwen,build forest hut,use stick as build forest hut,use stick as build forest hut,2,4
CES201606,370,14,stick,als brandhout gebruiken,brandhout,firewood,use stick as firewood,use stick as firewood,1,5
CES201606,510,16,stick,brandhout,brandhout,firewood,use stick as firewood,use stick as firewood,1,5
CES201606,2044,49,stick,brandstof,brandstof,fuel,use stick as fuel,use stick as fuel,1,5
CES201606,778,19,stick,om te breken,breken,break,use stick as break,use stick as break,1,5
CES201606,2121,50,stick,breken,breken,break,use stick as break,use stick as break,1,5
CES201606,2010,48,stick,brug bouwen,brug bouwen,build bridge,use stick as build bridge,use stick as build bridge,3,4
CES201606,1164,26,stick,gebruiken om constructies mee te verstevingen,constructies verstevigen,strengthen structures,use stick as strengthen structures,use stick as strengthen structures,2,5
CES201606,2146,51,stick,dakje maken van stokken en doeken,dakje stokken doeken,roof sticks cloths,use stick as roof sticks cloths,use stick as roof sticks cloths,2,4
CES201606,586,17,stick,dansen,dansen,dancing,use stick as dancing,use stick as dancing,2,4
CES201606,1574,39,stick,als decoratie in huis,decoratie huis,decoration house,use stick as decoration house,use stick as decoration house,3,3
CES201606,1742,44,stick,deegroller,deegroller,rolling pin,use stick as rolling pin,use stick as rolling pin,4,4
CES201606,2043,49,stick,degen,degen,epee,use stick as epee,use stick as epee,3,5
CES201606,1892,46,stick,deur dicht houden,deur dicht houden,keep door closed,use stick as keep door closed,use stick as keep door closed,3,4
CES201606,995,23,stick,een deur niet dicht laten vallen,deur niet dicht laten vallen,don't let door close,use stick as don't let door close,use stick as don't let door close,3,4
CES201606,1952,47,stick,deur tegen houden,deur tegen houden,stop door,use stick as stop door,use stick as stop door,3,4
CES201606,367,14,stick,de deur mee vergrendelen,deur vergrendelen,lock door,use stick as lock door,use stick as lock door,3,4
CES201606,2129,50,stick,eenb deurklink tegenhouden,deurklink tegenhouden,stop door handle,use stick as stop door handle,use stick as stop door handle,3,4
CES201606,444,15,stick,deurstopper,deurstopper,door stopper,use stick as door stopper,use stick as door stopper,3,4
CES201606,1115,25,stick,deurstopper,deurstopper,door stopper,use stick as door stopper,use stick as door stopper,3,4
CES201606,675,18,stick,gebruiken om een dierenhok mee te maken ,dieren hok,animal cage,use stick as animal cage,use stick as animal cage,3,4
CES201606,220,12,stick,een dildo,dildo,dildo,use stick as dildo,use stick as dildo,3,3
CES201606,442,15,stick,dildo,dildo,dildo,use stick as dildo,use stick as dildo,3,3
CES201606,225,12,stick,een ding om gordijnen aan op te honge,ding gordijnen hangen,hanging thing curtains,use stick as hanging thing curtains,use stick as hanging thing curtains,3,4
CES201606,1573,39,stick,dingen aan op te hangen,dingen hangen,things hang,use stick as things hang,use stick to things hang,2,4
CES201606,1061,24,stick,je kan er dingen aan ophangen,dingen ophangen,hanging things,use stick as hanging things,use stick as hanging things,2,4
CES201606,1572,39,stick,om in dingen te prikken,dingen prikken,things sting,use stick as things sting,use stick as things sting,2,4
CES201606,2145.2,51,stick, doek omheen,doek omheen,cloth around it,use stick as cloth around it,use stick as cloth around it,2,4
CES201606,878,20,stick,je kan het doormidden breken,doormidden breken,break in half,use stick as break in half,use stick as break in half,1,5
CES201606,595,17,stick,er een doos mee openmaken,doos openmaken,open box,use stick as open box,use stick as open box,2,4
CES201606,782,19,stick,mee te drummen,drummen,play drums,use stick as play drums,use stick as play drums,2,5
CES201606,1902,46,stick,eetstokjes,eetstokjes,chopsticks,use stick as chopsticks,use stick as chopsticks,3,4
CES201606,1298,29,stick,eten,eten,eat,use stick as eat,use stick as eat,3,4
CES201606,222,12,stick,een fakker,fakkel,torch,use stick as torch,use stick as torch,3,4
CES201606,2124,50,stick,of fierljeppen,fierljeppen,canal vaulting,use stick as canal vaulting,use stick as canal vaulting,2,5
CES201606,1481,36,stick,figuur mee leggen,figuur leggen,lay figure,use stick as lay figure,use stick as lay figure,3,4
CES201606,1898,46,stick,frisbee,frisbee,frisbee,use stick as frisbee,use stick as frisbee,5,2
CES201606,1655,42,stick,in een gat steken,gat steken,poke hole,use stick as poke hole,use stick as poke hole,2,4
CES201606,366,14,stick,geluid maken,geluid,sound,use stick as sound,use stick as sound,3,4
CES201606,880,20,stick,de gezondheid van een boom aflezen,gezondheid boom aflezen,health tree reading,use stick as health tree reading,use stick as health tree reading,2,4
CES201606,1744,44,stick,Gong mee slaan,gong slaan,strike gong,use stick as strike gong,use stick as strike gong,3,5
CES201606,589,17,stick,gooien,gooien,throw,use stick as throw,use stick as throw,1,5
CES201606,879.1,20,stick,ermee gooien,gooien,throw,use stick as throw,use stick as throw,1,5
CES201606,1649,42,stick,gooien,gooien,throw,use stick as throw,use stick as throw,1,5
CES201606,881,20,stick,gooien voor de hond,gooien hond,throwing dog,use stick as throwing dog,use stick as throwing dog,1,5
CES201606,1703,43,stick,gordijnen rode,gordijnen rode,curtains rod,use stick as curtains rod,use stick as curtains rod,3,4
CES201606,1956,47,stick,als gordijnroede,gordijnroede,curtain rod,use stick as curtain rod,use stick as curtain rod,3,4
CES201606,1119,25,stick,als iets om te grijpen wanneer je in het water ligt bijvoorbeeld,grijpen wanneer water ligt oorbeeld,grab when water is lying around example,use stick as grab when water is lying around example,use stick as grab when water is lying around example,2,4
CES201606,1901,46,stick,gril spit,gril spit,grill spit,use stick as grill spit,use stick as grill spit,2,5
CES201606,2126.1,50,stick,in de grond prikken,grond prikken,dig ground,use stick as dig ground,use stick as dig ground,2,5
CES201606,1739,44,stick,In de grond steken om een plaats aan te duiden,grond steken plaats duiden,ground sticking place indicate,use stick as ground sticking place indicate,use stick to ground sticking place indicate,2,5
CES201606,1740,44,stick,Iets mee in de grond tekenen,grond tekenen,drawing ground,use stick as drawing ground,use stick as drawing ground,2,5
CES201606,1165.1,26,stick,gebruiken om mee te handwerken (vlechten,handwerken vlechten,needlework braiding,use stick as needlework braiding,use stick as needlework braiding,3,4
CES201606,2127,50,stick,He-man nadoen,He Man nadoen,Imitate He Man,use stick as Imitate He Man,use stick as Imitate He Man,4,3
CES201606,2144,51,stick,heel veel spelletjes en verbeelding: apporteren met de honden of toverstok van fee,heel spelletjes verbeelding apporteren honden toverstok fee,very games imagination fetch dogs magic wand fairy,use stick as very games imagination fetch dogs magic wand fairy,use stick as very games imagination fetch dogs magic wand fairy,2,5
CES201606,587,17,stick,er over heen springen,heen springen,jump around,use stick as jump around,use stick as jump around,2,5
CES201606,1410,35,stick,als hefboom gebruiken,hefboom,lever,use stick as lever,use stick as lever,2,5
CES201606,2147.2,51,stick, hekken voetbaldoel,hekken voetbaldoel,fences football goal,use stick as fences football goal,use stick as fences football goal,3,5
CES201606,1705,43,stick,heksje mee spelen,heksje spelen,play witch,use stick as play witch,use stick as play witch,3,5
CES201606,2007,48,stick,hengel maken,hengel,fishing rod,use stick as fishing rod,use stick as fishing rod,4,4
CES201606,679,18,stick,hockeyen,hockeyen,play hockey,use stick as play hockey,use stick as play hockey,3,4
CES201606,1252,28,stick,als hockeystik,hockeystick,hockey stick,use stick as hockey stick,use stick as hockey stick,3,4
CES201606,1477,36,stick,Hond mee slaan,hond slaan,hitting dog,use stick as hitting dog,use stick as hitting dog,2,5
