research_id,response_id,respondent_id,object,original_response,cleaned_response,translated_response,combined_response,final_response,originality_rater01,utility_rater01
CES201606,755,19,belt,om om te doen,,,use belt as ,use belt as ,1,5
CES201606,1569,39,belt,als accesoire,accessoire,accessory,use belt as accessory,use belt as accessory,1,5
CES201606,506,16,belt,accescoire bij outfit,accessoire outfit,accessory outfit,use belt as accessory outfit,use belt as accessory outfit,1,5
CES201606,760,19,belt,als afbakening van iets (lijn neerleggen),afbakening,demarcation,use belt as demarcation,use belt as demarcation,3,4
CES201606,1004,22,belt,armband van maken,armband,bracelet,use belt as bracelet,use belt as bracelet,3,4
CES201606,1881,46,belt,armband,armband,bracelet,use belt as bracelet,use belt as bracelet,3,4
CES201606,1736,44,belt,Twee balken bijelkaar houden,balken elkaar houden,beams hold together,use belt as beams hold together,use belt as beams hold together,2,4
CES201606,503,16,belt,band om iets bij elkaar te houden anders dan broek. bijv opgerolde handdoek,band elkaar houden anders broek oorbeeld oorbeeld opgerolde handdoek,band hold together otherwise pants example example rolled up towel,use belt as band hold together otherwise pants example example rolled up towel,use belt as band hold together otherwise pants example example rolled up towel,2,5
CES201606,1802,45,belt,blinddoek,blinddoek,blindfold,use belt as blindfold,use belt as blindfold,3,5
CES201606,1204,27,belt,bloeden stelpen,bloeden stelpen,stop bleeding,use belt as stop bleeding,use belt as stop bleeding,2,5
CES201606,979,23,belt,boekenlegger,boekenlegger,bookmark,use belt as bookmark,use belt as bookmark,4,5
CES201606,1806,45,belt,bondage,bondage,bondage,use belt as bondage,use belt as bondage,2,5
CES201606,2001,48,belt,boompje aan paal vastmaken,boompje paal vastmaken,attach tree to pole,use belt as attach tree to pole,use belt as attach tree to pole,4,5
CES201606,1886,46,belt,bretels,bretels,braces,use belt as braces,use belt as braces,3,4
CES201606,865,20,belt,broek dichthouden,broek dichthouden,keep your pants closed,use belt as keep your pants closed,use belt as keep your pants closed,1,5
CES201606,662,18,belt,je broek op te hijsen ,broek hijsen,hoist pants,use belt as hoist pants,use belt as hoist pants,1,5
CES201606,1565,39,belt,broek om hoog houden,broek hoog houden,keep pants up,use belt as keep pants up,use belt as keep pants up,1,5
CES201606,352,14,belt,om je broek mee vast te maken,broek vast,pants,use belt as pants,use belt as pants,1,5
CES201606,1247,28,belt,om je broek zodat die niet afzakt,broek zodat niet afzakt,pants so that they do not fall down,use belt as pants so that they do not fall down,use belt as pants so that they do not fall down,1,5
CES201606,2108,50,belt,bruggetje mee bouwen van tafel naar tafel voor je cavia,bruggetje bouwen tafel tafel cavia,build bridge table table guinea pig,use belt as build bridge table table guinea pig,use belt as build bridge table table guinea pig,5,3
CES201606,990,23,belt,cadeau lint,cadeau lint,gift ribbon,use belt as gift ribbon,use belt as gift ribbon,5,4
CES201606,761,19,belt,om een dansje mee te doen,dansje,dance,use belt as dance,use belt as dance,3,3
CES201606,2040,49,belt,danspartners aan elkaar vastbinden ter oefening,danspartners elkaar vastbinden ter oefening,dance partners tie together for exercise,use belt as dance partners tie together for exercise,use belt to dance partners tie together for exercise,5,5
CES201606,1113,25,belt,deur open houder,deur open houder,door open holder,use belt as door open holder,use belt as door open holder,4,4
CES201606,215,12,belt,een ding om gordijnen aan op te hangen,ding gordijnen hangen,hanging thing curtains,use belt as hanging thing curtains,use belt as hanging thing curtains,5,4
CES201606,217,12,belt,een ding van een lamel,ding lamel,thing slat,use belt as thing slat,use belt as thing slat,5,2
CES201606,2132,51,belt,als ding tussen jou en een hete pan,ding tussen jou hete pan,thing between your hot pan,use belt as thing between your hot pan,use belt as thing between your hot pan,5,5
CES201606,1159,26,belt,gebruiken om dingen bij elkaar te houden,dingen elkaar houden,things hold together,use belt as things hold together,use belt as things hold together,2,5
CES201606,1567,39,belt,dingen bij elkaar houden,dingen elkaar houden,things hold together,use belt as things hold together,use belt as things hold together,2,5
CES201606,2130.1,51,belt,dingen bij elkaar houden,dingen elkaar houden,things hold together,use belt as things hold together,use belt as things hold together,2,5
CES201606,361,14,belt,om dingen aan elkaar vast te binden,dingen elkaar vast binden,tie things together,use belt as tie things together,use belt to tie things together,2,5
CES201606,665,18,belt,om dingen bij elkaar vast te binden ,dingen elkaar vast binden,tie things together,use belt as tie things together,use belt to tie things together,2,5
CES201606,1947,47,belt,om een doek over een emmer vast te maken,doek emmer vast,cloth bucket,use belt as cloth bucket,use belt as cloth bucket,2,5
CES201606,1363,30,belt,drukknopen,drukknopen,snaps,use belt as snaps,use belt as snaps,3,1
CES201606,1354,30,belt,elastiek,elastiek,elastic,use belt as elastic,use belt as elastic,3,1
CES201606,1405,35,belt,iets bij elkaar binden,elkaar binden,bind together,use belt as bind together,use belt as bind together,2,4
CES201606,1008,22,belt,iets aan elkaar binden achterop je fietsenrek,elkaar binden achterop fietsenrek,tie together back of bicycle rack,use belt as tie together back of bicycle rack,use belt to tie together back of bicycle rack,3,5
