response_id,research_id,respondent_id,object,original_response,cleaned_response,translated_response,combined_response,final_response,originality_rater02,utility_rater02
18801.1,CES201802,1310,can,iets in doen,,,use can as ,use can as ,1,5
20256.7,CES201802,1489,can, gebruiken voor,,,use can as ,use can as ,0,0
20273.5,CES201802,1493,can, blikopener,,,use can as ,use can as ,2,3
20290,CES201802,1491,can,  ,,,use can as ,use can as ,0,0
20327,CES201802,1498,can,kunt,,,use can as ,use can as ,0,0
21073,CES201802,1592,can,op maken,,,use can as ,use can as ,0,0
21901,CES201802,1706,can,kan,,,use can as ,use can as ,0,0
18613,CES201802,1292,can,je kan het aanbidden,aanbidden,worship,use can as worship,use can as worship,5,2
18662,CES201802,1294,can,aandacht trekken,aandacht trekken,seek attention,use can as seek attention,use can as seek attention,3,3
20988,CES201802,1571,can,het aankleden,aankleden,decorate,use can as decorate,use can to decorate,3,4
22248,CES201802,1754,can,aanraken,aanraken,touch,use can as touch,use can as touch,1,5
22764,CES201802,1815,can,aantekeningen,aantekeningen,notes,use can as notes,use can as notes,3,3
21472,CES201802,1644,can,accessoire,accessoire,accessory,use can as accessory,use can as accessory,3,3
19360,CES201802,1383,can,accesoires,accessoires,accessories,use can as accessories,use can as accessories,3,3
21372,CES201802,1638,can,achter je auto binden als je gaat trouwen,achter auto binden gaat trouwen,tie behind car gets married,use can as tie behind car gets married,use can to tie behind car gets married,2,5
20822,CES201802,1559,can,om achter een auto te hangen ,achter auto hangen,hang behind car,use can as hang behind car,use can to hang behind car,2,5
23148,CES201802,1862,can,achter auto hangen voor geluidseffect,achter auto hangen geluidseffect,behind car hanging sound effect,use can as behind car hanging sound effect,use can as behind car hanging sound effect,2,5
22303,CES201802,1760,can,Achter een auto hangen nadat je trouwt,achter auto hangen nadat trouwt,hang behind car after getting married,use can as hang behind car after getting married,use can to hang behind car after getting married,2,5
20942,CES201802,1570,can,achter een auto hangen na het trouwen,achter auto hangen trouwen,hang behind car get married,use can as hang behind car get married,use can to hang behind car get married,2,5
19246,CES201802,1365,can,Achter je fiets als geluid,achter fiets geluid,rear bicycle noise,use can as rear bicycle noise,use can as rear bicycle noise,2,5
18952.4,CES201802,1330,can, achter een vervelend persoon zijn/haar auto hangen,achter vervelend persoon haar auto hangen,hanging her car behind annoying person,use can as hanging her car behind annoying person,use can as hanging her car behind annoying person,2,5
18955,CES201802,1330,can,achter een vervelend persoon zijn/haar auto hangen,achter vervelend persoon haar auto hangen,hanging her car behind annoying person,use can as hanging her car behind annoying person,use can as hanging her car behind annoying person,2,5
22420,CES201802,1774,can,of is het ad,ad,ad,use can as ad,use can as ad,2,5
22682,CES201802,1807,can,atten,adten,drink,use can as drink,use can as drink,2,5
19417,CES201802,1391,can,adtje trekken,adtje trekken,drink,use can as drink,use can as drink,2,5
22199,CES201802,1747,can,om op te adverteren,adverteren,advertise,use can as advertise,use can as advertise,3,5
19288,CES201802,1370,can,om afteluisteren,af luisteren,eavesdropping,use can as eavesdropping,use can as eavesdropping,3,4
20514,CES201802,1518,can,Afdek deksel,afdek deksel,cover lid,use can as cover lid,use can to cover lid,2,4
22759,CES201802,1814,can,Afdrukvorm (gebak of zangfiguren),afdrukvorm,print form,use can as print form,use can as print form,3,4
22251,CES201802,1754,can,afgieten,afgieten,drain,use can as drain,use can as drain,3,3
19877,CES201802,1444,can,afluisteren aan de muur,afluisteren muur,eavesdropping wall,use can as eavesdropping wall,use can as eavesdropping wall,3,4
22546,CES201802,1789,can,afrastering tuinhekje,afrastering tuinhekje,fence garden gate,use can as fence garden gate,use can as fence garden gate,3,4
19447,CES201802,1397,can,afval,afval,waste,use can as waste,use can as waste,2,5
22782,CES201802,1820,can,Afval,afval,waste,use can as waste,use can as waste,2,5
23435,CES201802,1895,can,afval in doen,afval,waste,use can as waste,use can as waste,2,5
18806,CES201802,1310,can,gebruiken als afval bakje,afval bakje,waste bin,use can as waste bin,use can as waste bin,2,5
21825,CES201802,1694,can,afval container,afval container,waste container,use can as waste container,use can as waste container,2,5
21416,CES201802,1645,can,afvalbak,afvalbak,garbage bin,use can as garbage bin,use can as garbage bin,2,5
22896,CES201802,1832,can,afvalbak,afvalbak,garbage bin,use can as garbage bin,use can as garbage bin,2,5
21724,CES201802,1681,can,agressie op uitleven,agressie uitleven,indulge in aggression,use can as indulge in aggression,use can as indulge in aggression,2,4
22850,CES201802,1827,can,alcohol,alcohol,alcohol,use can as alcohol,use can as alcohol,1,5
21174,CES201802,1615,can,alternatief siraad,alternatief sieraad,alternative jewelry,use can as alternative jewelry,use can as alternative jewelry,3,4
21176,CES201802,1615,can,alternatieve baksteen,alternatieve baksteen,alternative brick,use can as alternative brick,use can as alternative brick,3,4
20990,CES201802,1573,can,aluminium,aluminium,aluminium,use can as aluminium,use can as aluminium,0,0
19400,CES201802,1387,can,ammunitie,ammunitie,ammunition,use can as ammunition,use can as ammunition,3,3
19084,CES201802,1342,can,ananas,ananas,pineapple,use can as pineapple,use can as pineapple,0,0
23438,CES201802,1895,can,ander drinken indoen,ander drinken indoen,add another drink,use can as add another drink,use can as add another drink,1,5
20498,CES201802,1516,can,er iets anders indoen dan drinken,anders indoen drinken,drink differently,use can as drink differently,use can as drink differently,1,5
19602.1,CES201802,1414,can,Andy warhol memorial,Andy Warhol memorial,Andy Warhol memorial,use can as Andy Warhol memorial,use can as Andy Warhol memorial,4,4
20592,CES201802,1526,can,anker (met zand erin),anker,anchor,use can as anchor,use can to anchor,3,4
21884,CES201802,1703,can,gebruiken als anker,anker,anchor,use can as anchor,use can to anchor,3,4
22377,CES201802,1766,can,appelsap,appelsap,Apple juice,use can as Apple juice,use can as Apple juice,1,5
21830,CES201802,1694,can,aquarium voor kleine viesjes,aquarium kleine visjes,aquarium small fish,use can as aquarium small fish,use can as aquarium small fish,3,4
21142,CES201802,1610,can,armband,armband,bracelet,use can as bracelet,use can as bracelet,3,4
21234,CES201802,1622,can,gebruiken als armband,armband,bracelet,use can as bracelet,use can as bracelet,3,4
21423,CES201802,1642,can,armband van te maken,armband,bracelet,use can as bracelet,use can as bracelet,3,4
22057,CES201802,1728,can,armband,armband,bracelet,use can as bracelet,use can as bracelet,3,4
18495,CES201802,1277,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
18562,CES201802,1283,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
18692,CES201802,1299,can,Als asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
18874.4,CES201802,1319,can, asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
18877,CES201802,1319,can,Asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
19037,CES201802,1338,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
19409,CES201802,1390,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
19688,CES201802,1426,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
20589,CES201802,1526,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
20792,CES201802,1556,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
20846,CES201802,1560,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
20917,CES201802,1568,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
20951,CES201802,1570,can,als asbak gebruiken,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
21127,CES201802,1609,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
21156,CES201802,1613,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
21440,CES201802,1646,can,als asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
21461,CES201802,1649,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
21584,CES201802,1664,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
21652,CES201802,1671,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
21920,CES201802,1708,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
22294,CES201802,1758,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
22481,CES201802,1782,can,asbak van maken,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
22947,CES201802,1840,can,om als asbak te gebruiken,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
23031,CES201802,1848,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
23122,CES201802,1859,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
23358,CES201802,1885,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
23436,CES201802,1895,can,asbak,asbak,ashtray,use can as ashtray,use can as ashtray,2,5
22605,CES201802,1797,can,Attributen in bewaren,attributen bewaren,save attributes,use can as save attributes,use can as save attributes,2,5
22364,CES201802,1766,can,augurken,augurken,pickles,use can as pickles,use can as pickles,1,5
20242,CES201802,1486,can,auto,auto,car,use can as car,use can as car,3,2
21177,CES201802,1615,can,auto van maken,auto,car,use can as car,use can as car,3,2
22677,CES201802,1807,can,auto maken,auto,car,use can as car,use can as car,3,2
22727,CES201802,1813,can,Auto,auto,car,use can as car,use can as car,3,2
21764,CES201802,1685,can,automaat,automaat,vending machine,use can as vending machine,use can as vending machine,0,0
20797,CES201802,1556,can,autotjes,autootjes,cars,use can as cars,use can as cars,3,2
21725,CES201802,1681,can,autootjes van maken (wieltjes onderzetten),autootjes,cars,use can as cars,use can as cars,3,2
22423,CES201802,1774,can,badeentje,badeendje,rubber duck,use can as rubber duck,use can as rubber duck,5,2
18995,CES201802,1332,can,een bagde,badge,badge,use can as badge,use can as badge,3,3
19758,CES201802,1431,can,bait (ik weet het Nederlandse woord even niet),bait,bait,use can as bait,use can as bait,4,3
22570,CES201802,1791,can,bak,bak,bin,use can as bin,use can as bin,2,5
18939,CES201802,1328,can,bakje ,bakje,tub,use can as tub,use can as tub,2,5
19045,CES201802,1338,can,bakje,bakje,tub,use can as tub,use can as tub,2,5
19681,CES201802,1420,can,bakje,bakje,tub,use can as tub,use can as tub,2,5
19737,CES201802,1423,can,BAKJE,bakje,tub,use can as tub,use can as tub,2,5
19960,CES201802,1453,can,bakje,bakje,tub,use can as tub,use can as tub,2,5
20148,CES201802,1473,can,bakje,bakje,tub,use can as tub,use can as tub,2,5
21222,CES201802,1621,can,bakje,bakje,tub,use can as tub,use can as tub,2,5
21284,CES201802,1628,can,bakje,bakje,tub,use can as tub,use can as tub,2,5
22383,CES201802,1768,can,als bakje,bakje,tub,use can as tub,use can as tub,2,5
22553,CES201802,1789,can,bakje,bakje,tub,use can as tub,use can as tub,2,5
22649,CES201802,1803,can,bakje,bakje,tub,use can as tub,use can as tub,2,5
22769,CES201802,1815,can,bakje,bakje,tub,use can as tub,use can as tub,2,5
22863,CES201802,1829,can,bakje,bakje,tub,use can as tub,use can as tub,2,5
19606,CES201802,1414,can,bakje om eten in te bewaren,bakje eten bewaren,store container of food,use can as store container of food,use can as store container of food,2,5
19602.4,CES201802,1414,can, bakje om eten in te bewaren voor huisdier,bakje eten bewaren huisdier,pet food storage container,use can as pet food storage container,use can as pet food storage container,2,5
22391,CES201802,1770,can,je kan het als een bakje gebruiken voor bijvoorbeeld pennen,bakje oorbeeld pennen,tub of example pens,use can as tub of example pens,use can as tub of example pens,2,5
21826,CES201802,1694,can,bakje voor spullen,bakje spullen,tub of stuff,use can as tub of stuff,use can as tub of stuff,2,5
19145,CES201802,1351,can,Als bal gebruiken,bal,ball,use can as ball,use can as ball,3,4
19568,CES201802,1411,can,bal,bal,ball,use can as ball,use can as ball,3,4
19689,CES201802,1426,can,bal,bal,ball,use can as ball,use can as ball,3,4
19732,CES201802,1423,can,BAL,bal,ball,use can as ball,use can as ball,3,4
19895,CES201802,1445,can,gebruiken als bal,bal,ball,use can as ball,use can as ball,3,4
19918,CES201802,1448,can,bal,bal,ball,use can as ball,use can as ball,3,4
20078,CES201802,1466,can,Bal,bal,ball,use can as ball,use can as ball,3,4
20201,CES201802,1481,can,bal,bal,ball,use can as ball,use can as ball,3,4
20552.1,CES201802,1522,can,bal,bal,ball,use can as ball,use can as ball,3,4
20593,CES201802,1526,can,bal,bal,ball,use can as ball,use can as ball,3,4
20865,CES201802,1561,can,bal,bal,ball,use can as ball,use can as ball,3,4
22549,CES201802,1789,can,bal,bal,ball,use can as ball,use can as ball,3,4
23131,CES201802,1859,can,bal,bal,ball,use can as ball,use can as ball,3,4
20819.3,CES201802,1557,can, als bal voor een spelletje,bal spelletje,ball game,use can as ball game,use can as ball game,3,4
19450,CES201802,1397,can,te balanseren,balanceren,balance,use can as balance,use can as balance,3,4
21410,CES201802,1645,can,balanceren,balanceren,balance,use can as balance,use can as balance,3,4
22428,CES201802,1773,can,balans,balans,balance,use can as balance,use can as balance,3,4
18965,CES201802,1329,can,balans trucje,balans trucje,balance trick,use can as balance trick,use can as balance trick,3,4
19372,CES201802,1384,can,balen gooien,balen gooien,throwing bales,use can as throwing bales,use can as throwing bales,2,5
22526,CES201802,1786,can,bij het ballengooienop dekermis,ballen gooien kermis,ball throwing fair,use can as ball throwing fair,use can as ball throwing fair,2,5
22186,CES201802,1746,can,om balletjes naar toe te gooien,balletjes toe gooien,throw balls,use can as throw balls,use can as throw balls,2,5
19397,CES201802,1387,can,BALSPEL,balspel,ball game,use can as ball game,use can as ball game,2,5
20517,CES201802,1518,can,Balspel waarmee je blikjes omgooid zoals bij de kermis,balspel waarmee blikjes omgooit zoals kermis,ball game that knocks over cans like fair,use can as ball game that knocks over cans like fair,use can as ball game that knocks over cans like fair,2,5
22040,CES201802,1725,can,bank van maken,bank,Bank,use can as Bank,use can as Bank,3,2
23265,CES201802,1876,can,barbew\que,barbecue,barbecue,use can as barbecue,use can as barbecue,3,3
